Region,Country,First Closed Won Opp Date,Account ID,CSM Status Stage,Activation Date,Highest Product,Last Product usage date,# delivery partners,Time to Activation
Region C,Country 16,2022-01-13,0016R0000378noX,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378np0,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378npA,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378npe,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378npF,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378npj,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378npK,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378npo,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378npP,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378npt,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378npU,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378npy,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378npZ,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nq3,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nq8,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nqc,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nqh,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nqI,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nqm,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nqN,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nqr,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nqS,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nqX,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nr1,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nr6,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nra,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nrB,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nrf,Active,2022-01-13,Basic,2022-01-14,1.0,0 days
Region C,Country 16,2022-01-13,0016R0000378nrG,Onboarding,,Basic,,1.3,
Region C,Country 16,2022-01-13,0016R0000378nrk,Onboarding,,Basic,,1.3,
