Region,Country,First Closed Won Opp Date,Account ID,CSM Status Stage,Activation Date,Highest Product,Last Product usage date,# delivery partners,Time to Activation
Region A,Country 6,2021-09-25,0016R000036I4oS,Churned,,Basic,,1.3,
Region B,Country 9,2021-10-06,0016R000036I4Os,Blocked,2021-10-07,Basic,,2.0,1 days
Region A,Country 6,2021-09-24,0016R000036I4oX,Churned,2021-10-04,Basic,,1.0,10 days
Region A,Country 6,2021-09-25,0016R000036I4pV,Churned,2021-10-06,Basic,,1.3,11 days
Region D,Country 5,2021-09-24,0016R000036I4Qy,Active,2021-11-17,Basic,,2.0,54 days
Region A,Country 6,2021-09-25,0016R000036I4rC,Churned,2021-10-06,Basic,,1.3,11 days
Region C,Country 16,2021-09-24,0016R000036I4rH,Active,2021-09-24,Basic,2021-12-08,2.0,0 days
Region C,Country 16,2021-09-29,0016R000036I4tD,Active,2021-10-01,Basic,2021-12-29,1.0,2 days
Region B,Country 9,2021-09-24,0016R000036I4U8,Onboarding,,Basic,2022-01-14,1.0,
Region B,Country 2,2021-09-24,0016R000036I4vJ,Active,2021-09-28,Basic,2022-01-11,3.0,4 days
Region D,Country 11,2021-09-24,0016R000036I4XR,Active,2021-10-07,Basic,,4.0,13 days
Region B,Country 2,2021-09-27,0016R000036I4YK,Active,2021-10-15,Basic,2022-01-13,4.0,18 days
Region C,Country 3,2021-09-24,0016R000036I4yT,Active,2021-09-29,Basic,,1.0,5 days
Region C,Country 3,2021-09-24,0016R000036I513,Active,2021-09-27,Basic,,4.0,3 days
Region C,Country 16,2021-09-22,0016R000036I53K,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I53L,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I53M,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I53N,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-24,0016R000036I53O,Churned,2021-10-13,Basic,2022-01-14,1.3,19 days
Region C,Country 16,2021-09-22,0016R000036I543,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I544,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I545,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I546,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region B,Country 9,2021-09-24,0016R000036I54W,Active,2021-10-04,Basic,2022-01-14,2.0,10 days
Region C,Country 16,2021-09-22,0016R000036I56P,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I56Q,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I56r,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I56R,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I57p,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I57q,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I57r,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I57s,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I57t,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I57z,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I580,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I581,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I582,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I583,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I584,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I585,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I586,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I587,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I588,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I589,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58A,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58B,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58C,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58D,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58d,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58E,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58e,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58f,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58g,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58h,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58i,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58J,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58j,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58K,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58k,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58L,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58l,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58M,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58m,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58N,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58n,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58s,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58t,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58T,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58u,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58U,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58v,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I58w,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region B,Country 22,2021-09-24,0016R000036I58y,Active,2021-10-01,Basic,2022-01-12,3.0,7 days
Region C,Country 16,2021-09-22,0016R000036I592,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I593,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I594,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I595,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I596,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I597,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I598,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I599,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I59A,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I59B,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I59H,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I59I,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I59J,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I59K,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I59L,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I59M,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I59N,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I59O,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I59P,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I59Q,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I59R,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I59S,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I59T,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I59U,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I59V,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I59W,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I59X,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-22,0016R000036I59Y,Active,2021-09-27,Basic,2022-01-05,1.0,5 days
Region C,Country 16,2021-09-24,0016R000036I5CL,Active,2021-10-13,Basic,2022-01-14,1.3,19 days
Region C,Country 3,2021-09-24,0016R000036I5D5,Churned,2021-09-27,Basic,,3.0,3 days
Region C,Country 3,2021-09-24,0016R000036I5FZ,Churned,2021-09-27,Basic,,3.0,3 days
Region A,Country 13,2021-09-26,0016R000036I5gp,Dead Opportunity,,Basic,,1.0,
Region B,Country 2,2021-10-29,0016R000036I5gV,Churned,2021-12-08,Basic,,0.0,40 days
Region C,Country 16,2021-09-21,0016R000036I5I9,Active,2021-12-28,Basic,2021-11-19,1.3,98 days
Region C,Country 16,2021-09-24,0016R000036I5Id,Active,2021-09-27,Basic,,1.3,3 days
Region C,Country 16,2021-09-24,0016R000036I5KP,Churned,2021-09-27,Basic,,0.0,3 days
Region C,Country 3,2021-09-24,0016R000036I5M6,Active,2021-09-30,Basic,,1.0,6 days
Region C,Country 16,2021-09-24,0016R000036I5Nx,Churned,2021-10-01,Basic,2022-01-01,1.0,7 days
Region C,Country 16,2021-09-29,0016R000036I5Ny,Churned,2021-10-04,Basic,2022-01-01,1.0,5 days
Region A,Country 6,2021-09-25,0016R000036I5od,Active,2021-10-04,Basic,2022-01-14,3.0,9 days
Region A,Country 6,2021-09-25,0016R000036I5oT,Churned,2021-10-04,Basic,,3.0,9 days
Region A,Country 6,2021-10-06,0016R000036I5oY,Active,2021-10-12,Basic,2022-01-15,4.0,6 days
Region C,Country 16,2021-09-24,0016R000036I5Pt,Active,2021-09-29,Basic,,0.0,5 days
Region C,Country 16,2021-10-20,0016R000036I5s8,Churned,2021-10-21,Basic,,1.0,1 days
Region A,Country 13,2021-09-25,0016R000036I5sS,Churned,2021-10-22,Basic,,1.0,27 days
Region D,Country 11,2021-09-26,0016R000036I5wj,Churned,2021-09-29,Basic,,3.0,3 days
Region C,Country 16,2021-09-24,0016R000036I5X4,Churned,2021-09-29,Basic,,0.0,5 days
Region B,Country 2,2021-09-24,0016R000036I5YC,Onboarding,,Basic,,1.0,
Region B,Country 4,2021-09-25,0016R000036I6H5,Active,2021-10-01,Basic,2021-12-13,4.0,6 days
Region B,Country 4,2021-09-25,0016R000036I6H6,Active,2021-10-01,Basic,2021-12-13,3.0,6 days
Region B,Country 4,2021-09-25,0016R000036I6HU,Active,2021-10-01,Basic,2021-12-13,2.0,6 days
Region B,Country 4,2021-09-25,0016R000036I6Hy,Active,2021-10-01,Basic,2021-12-13,4.0,6 days
Region B,Country 4,2021-09-25,0016R000036I6Hz,Active,2021-10-01,Basic,2021-12-13,4.0,6 days
Region B,Country 4,2021-09-25,0016R000036I6IX,Active,2021-10-01,Basic,2021-12-13,2.0,6 days
Region B,Country 4,2021-09-25,0016R000036I6JB,Active,2021-10-01,Basic,2021-12-13,2.0,6 days
Region B,Country 4,2021-09-25,0016R000036I6Jk,Active,2021-10-01,Basic,2021-12-13,0.0,6 days
Region B,Country 4,2021-09-25,0016R000036I6KE,Active,2021-10-01,Basic,2021-12-13,1.0,6 days
Region B,Country 9,2021-09-28,0016R000036I6KY,Churned,2021-09-30,Basic,,0.0,2 days
Region C,Country 3,2021-09-27,0016R000036I6Ll,Active,2021-09-28,Basic,2022-01-07,3.0,1 days
Region D,Country 11,2021-09-22,0016R000036I6n2,Active,2021-11-23,Basic,,3.0,62 days
Region D,Country 15,2021-09-25,0016R000036I6nz,Active,2021-10-18,Basic,,1.3,23 days
Region D,Country 15,2021-09-25,0016R000036I6oO,Active,2021-10-18,Basic,,1.3,23 days
Region D,Country 11,2021-10-27,0016R000036I6oX,Active,2021-11-07,Basic,2021-12-17,4.0,11 days
Region C,Country 3,2021-09-25,0016R000036I6Oz,Active,2021-09-27,Basic,2022-01-07,2.0,2 days
Region A,Country 1,2021-09-25,0016R000036I6sr,Active,2021-09-27,Basic,,3.0,2 days
Region B,Country 9,2021-09-25,0016R000036I6vz,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6w0,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6w1,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6w2,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6w3,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6w4,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6w5,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6w6,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6w7,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6w8,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6w9,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6wA,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6wB,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6wC,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6wD,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6wE,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6wF,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6wG,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6wH,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6wI,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6wJ,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6wK,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6wL,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6wM,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6wN,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6wO,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6wP,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6wQ,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6xo,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6xp,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6xq,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6xr,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6xs,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6xt,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6xu,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6xv,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6xw,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6xx,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6xy,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6xz,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6y0,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6y1,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6y2,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6y3,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6y4,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6y5,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6y6,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6y7,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6y8,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6y9,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6yA,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6yB,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6yC,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6yD,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6yE,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6yF,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6yG,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6yH,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6yI,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6yJ,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6yK,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6yL,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6yM,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6yN,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6yO,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6yP,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6yQ,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6yR,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6yS,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6yT,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6yU,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6yV,Onboarding,,Basic,,1.3,
Region B,Country 9,2021-09-25,0016R000036I6yW,Onboarding,,Basic,,1.3,
Region A,Country 13,2021-09-26,0016R000036I6zB,Dead Opportunity,,Basic,,1.3,
Region A,Country 13,2021-09-26,0016R000036I6zD,Dead Opportunity,,Basic,,1.3,
Region D,Country 11,2021-09-26,0016R000036I72m,Churned,2021-09-29,Basic,,2.0,3 days
Region D,Country 14,2021-09-28,0016R000036I73e,Churned,2021-10-14,Basic,,0.0,16 days
Region D,Country 11,2021-09-22,0016R000036I73F,Onboarding,,Basic,,1.0,
Region A,Country 6,2021-09-26,0016R000036I73j,Active,2021-10-04,Basic,2022-01-11,4.0,8 days
Region D,Country 11,2021-09-22,0016R000036I73K,Onboarding,,Basic,,1.0,
Region D,Country 11,2021-09-22,0016R000036I73P,Onboarding,,Basic,,1.0,
Region A,Country 6,2021-09-26,0016R000036I73Z,Active,2021-10-04,Basic,,1.0,8 days
Region D,Country 11,2021-09-27,0016R000036I743,Active,2021-10-12,Basic,2021-11-19,2.0,15 days
Region D,Country 11,2021-09-26,0016R000036I748,Active,2021-10-07,Basic,2022-01-02,3.0,11 days
Region D,Country 11,2021-09-30,0016R000036I74r,Active,2021-11-15,Basic,,1.0,46 days
Region D,Country 11,2021-09-30,0016R000036I74X,Active,2021-10-12,Basic,2021-12-05,0.0,12 days
Region A,Country 13,2021-09-26,0016R000036I75g,Churned,2021-09-28,Basic,,1.3,2 days
Region A,Country 13,2021-09-26,0016R000036I75l,Churned,2021-09-28,Basic,,1.3,2 days
Region A,Country 13,2021-09-26,0016R000036I75q,Churned,2021-09-28,Basic,,1.3,2 days
Region A,Country 13,2021-09-26,0016R000036I75s,Churned,2021-09-28,Basic,,1.3,2 days
Region A,Country 13,2021-09-26,0016R000036I75u,Churned,2021-09-28,Basic,,1.3,2 days
Region A,Country 13,2021-09-26,0016R000036I76A,Churned,2021-09-28,Basic,,1.3,2 days
Region A,Country 23,2021-09-24,0016R000036I77D,Onboarding,,Basic,,1.3,
Region A,Country 23,2021-09-24,0016R000036I77G,Active,2021-11-02,Basic,,1.0,39 days
Region A,Country 23,2021-09-24,0016R000036I77h,Onboarding,,Basic,,1.3,
Region A,Country 23,2021-09-24,0016R000036I77I,Onboarding,,Basic,,1.3,
Region A,Country 23,2021-09-24,0016R000036I77X,Onboarding,,Basic,,1.3,
Region A,Country 8,2021-09-27,0016R000036I7i9,Active,2021-10-15,Basic,,3.0,18 days
Region A,Country 1,2021-09-27,0016R000036I7kP,Active,2021-09-30,Basic,,3.0,3 days
Region A,Country 1,2021-09-28,0016R000036I7lb,Active,2021-09-28,Basic,,2.0,0 days
Region A,Country 1,2021-09-27,0016R000036I7lD,Active,2021-12-09,Basic,,2.0,73 days
Region A,Country 1,2021-09-27,0016R000036I7lF,Active,2021-09-27,Basic,,1.3,0 days
Region A,Country 1,2021-09-27,0016R000036I7lI,Active,2021-09-27,Basic,,2.0,0 days
Region A,Country 1,2021-09-27,0016R000036I7lr,Churned,2021-09-27,Basic,,1.0,0 days
Region A,Country 8,2021-09-27,0016R000036I7lS,Onboarding,,Basic,,0.0,
Region A,Country 1,2021-09-28,0016R000036I7lZ,Active,2021-09-28,Basic,,3.0,0 days
Region A,Country 8,2021-09-27,0016R000036I7mz,Churned,,Basic,,0.0,
Region A,Country 1,2021-09-27,0016R000036I7n4,Active,2021-10-07,Basic,2022-01-12,4.0,10 days
Region A,Country 13,2021-09-27,0016R000036I7ov,Active,2021-10-19,Basic,,1.3,22 days
Region A,Country 1,2021-09-26,0016R000036I7py,Active,2021-11-02,Basic,2022-01-11,2.0,37 days
Region A,Country 1,2021-09-26,0016R000036I7q8,Active,2021-10-24,Basic,,3.0,28 days
Region C,Country 16,2021-09-26,0016R000036I7qh,Active,2021-09-27,Basic,2022-01-13,3.0,1 days
Region C,Country 16,2021-09-26,0016R000036I7qI,Active,2021-09-27,Basic,,3.0,1 days
Region C,Country 16,2021-09-26,0016R000036I7r1,Active,2021-09-27,Basic,2021-11-24,2.0,1 days
Region A,Country 13,2021-10-01,0016R000036I7r6,Churned,2021-11-02,Basic,,1.3,32 days
Region A,Country 1,2021-09-27,0016R000036I7sr,Active,2021-09-30,Basic,,3.0,3 days
Region A,Country 1,2021-09-26,0016R000036I7sS,Active,2021-10-28,Basic,,1.0,32 days
Region D,Country 5,2021-09-25,0016R000036I7sw,Active,2021-10-04,Basic,,2.0,9 days
Region D,Country 15,2021-09-27,0016R000036I7ta,Onboarding,,Basic,,2.0,
Region A,Country 13,2021-09-27,0016R000036I7tf,Dead Opportunity,,Basic,,1.3,
Region A,Country 13,2021-09-27,0016R000036I7tk,Active,2021-10-29,Basic,,1.3,32 days
Region A,Country 21,2021-09-27,0016R000036I7tM,Paused,,Basic,,1.3,
Region D,Country 15,2021-09-27,0016R000036I7tz,Onboarding,,Basic,2021-11-18,2.0,
Region A,Country 6,2021-09-27,0016R000036I7ud,Churned,,Basic,,1.3,
Region A,Country 13,2021-09-28,0016R000036I7ui,Onboarding,,Basic,,1.3,
Region A,Country 6,2021-09-27,0016R000036I7uJ,Churned,,Basic,,1.3,
Region D,Country 15,2021-09-27,0016R000036I7us,Onboarding,,Basic,,3.0,
Region A,Country 6,2021-09-27,0016R000036I7ux,Churned,,Basic,,1.3,
Region A,Country 6,2021-09-27,0016R000036I7uY,Churned,,Basic,,1.3,
Region A,Country 12,2021-09-27,0016R000036I7vC,Active,2021-10-06,Basic,,1.3,9 days
Region A,Country 6,2021-09-27,0016R000036I7vl,Churned,,Basic,,1.3,
Region D,Country 20,2021-09-24,0016R000036I7vv,Churned,2021-10-26,Basic,2022-01-02,3.0,32 days
Region D,Country 20,2021-09-24,0016R000036I7w5,Churned,2021-10-06,Basic,2022-01-02,0.0,12 days
Region A,Country 13,2021-09-27,0016R000036I7we,Dead Opportunity,,Basic,,0.0,
Region D,Country 7,2021-09-30,0016R000036I7wj,Active,2021-10-11,Basic,2022-01-13,3.0,11 days
Region A,Country 6,2021-09-27,0016R000036I7wt,Churned,,Basic,,1.3,
Region A,Country 6,2021-09-27,0016R000036I7wu,Churned,,Basic,,1.3,
Region A,Country 6,2021-09-27,0016R000036I7wv,Churned,,Basic,,1.3,
Region A,Country 6,2021-11-05,0016R000036I7xc,Active,2021-11-17,Basic,2021-12-31,4.0,12 days
Region A,Country 6,2021-09-27,0016R000036I7xD,Churned,,Basic,,1.3,
Region A,Country 6,2021-09-27,0016R000036I7xI,Churned,,Basic,,1.3,
Region A,Country 6,2021-09-27,0016R000036I7xJ,Churned,,Basic,,1.3,
Region D,Country 11,2021-09-30,0016R000036I7xm,Active,2021-10-12,Basic,,2.0,12 days
Region A,Country 6,2021-09-28,0016R000036I7xO,Churned,2021-10-05,Basic,,2.0,7 days
Region A,Country 6,2021-11-05,0016R000036I7xP,Active,2021-12-06,Basic,2021-12-07,2.0,31 days
Region D,Country 15,2021-09-27,0016R000036I7y1,Active,2021-10-04,Basic,2022-01-13,0.0,7 days
